term,course,section,enrollment,capacity
1221,IST659,M001,20,20
1221,IST659,M002,20,20
1221,IST722,M001,25,28
1221,IST615,M001,22,28
1221,IST621,M001,22,24
1221,IST687,M001,20,20
1221,IST687,M002,21,24
1221,IST707,M001,28,28
1222,IST659,M001,24,24
1222,IST769,M001,19,24
1222,IST615,M001,19,24
1222,IST714,M001,17,20
1222,IST621,M001,28,28
1222,IST621,M002,22,24
1222,IST687,M001,18,20
1222,IST687,M002,20,20
1222,IST718,M001,28,28
1231,IST659,M001,20,20
1231,IST659,M002,20,20
1231,IST722,M001,23,28
1231,IST615,M001,21,24
1231,IST621,M001,28,28
1231,IST687,M001,17,20
1231,IST687,M002,20,24
1231,IST707,M001,24,24
1232,IST659,M001,20,20
1232,IST769,M001,20,24
1232,IST615,M001,21,28
1232,IST615,M002,20,24
1232,IST714,M001,20,24
1232,IST621,M001,28,28
1232,IST621,M002,21,24
1232,IST687,M001,19,24
1232,IST718,M001,28,28
